 3.24 11.45 10.77 
 8.36 15.27 13.95
 7.06 12.93 11.98
 4.33 11.58 10.88
 4.21 11.43 10.57
 4.25 11.65 10.96
 7.41 13.26 12.29
 7.26 13.49 12.45
 7.23 15.78 14.27
 2.29 10.67 10.10
 2.98 11.19 10.54
 2.64 11.02 10.40
 5.67 12.42 11.56
 2.70 15.60 14.23
 0.76 10.11  9.62
 6.53 12.02 11.22
 3.60 13.06 12.12
 7.82 13.20 12.20
 6.72 12.66 11.77
 0.42 18.72 17.17
 4.46 11.62 10.89
 4.12 11.85 11.14
 4.34 11.54 10.84
 5.45 11.98 11.20
 1.63 10.69 10.10
 0.38 15.70 14.24
 6.62 14.82 13.46
 6.09 12.72 11.74
 0.47 17.45 15.95
 2.98 15.89 14.48
 2.29 10.40  9.85
 1.58 11.03 10.39
 4.22 15.86 14.45
 8.40 13.73 12.66
 0.32 16.66 15.16
 0.25 17.07 15.72
 7.06 12.99 12.05
 6.65 12.88 11.96
 0.31 16.72 15.16
 2.02 17.97 16.37
 2.91 12.56 11.58
 2.77 11.23 10.52
 6.74 13.73 12.65
 0.66 12.25 11.44
 2.48 11.08 10.41
 3.99 11.54 10.84
 5.34 12.35 11.47
 3.05 15.93 14.52
 0.36 15.84 14.37
 1.35 15.61 14.26
 3.88 11.42 10.73
 0.96 17.00 15.43
 5.08 11.32 10.52
 0.47 12.47 11.62
 5.70 11.73 10.89
 9.86 15.36 13.99
 6.32 13.20 12.24
 5.38 12.09 11.30
 3.01 15.89 14.50
 0.35 17.79 16.15
 4.52 15.67 14.30
 4.08 11.79 11.02
 4.11 17.13 15.62
 1.47 11.39 10.71
 4.23 11.37 10.70
 4.76 12.51 11.63
 6.92 13.58 12.55
 0.57 16.85 15.43
 2.60 12.29 11.45
 3.92 11.49 10.79
 3.17 11.36 10.48
 4.76 11.81 11.07
 1.47 11.26 10.60
 4.51 11.92 11.02
 0.41 14.08 13.01
 0.35 15.02 13.74
 3.26 16.97 15.42
 1.07 18.17 16.66
 0.84 12.44 11.60
 1.57 16.88 15.39
 0.39 15.44 14.02
 3.79 14.53 13.32
 0.94 15.98 14.60
 9.03 14.54 13.33
 1.92 10.39  9.84
 6.62 12.62 11.72
 6.77 13.09 12.15
 5.51 12.20 11.39
 5.55 14.64 13.43
 8.64 13.49 12.45
 2.42 11.58 10.78
 2.85 11.04 10.42
 5.83 15.16 13.85
 3.79 11.43 10.73
 5.26 12.31 11.49
 2.93 10.52  9.95
 4.33 15.14 13.82
 0.52 14.44 13.33
 6.43 12.92 12.02
 0.52 15.77 13.60
 5.20 12.04 11.26
 0.85 17.75 16.18
 0.68 17.85 16.20
 5.74 15.73 14.37
 0.42 13.88 12.68
 7.50 13.42 12.40
 1.24 16.81 15.28
 7.09 14.94 13.64
 0.39 14.91 13.52
 0.29 10.73 10.11
 0.82 13.47 12.32
 0.53 10.27  9.71
 0.37 16.77 15.30
 5.23 12.07 11.30
 0.91 10.15  9.50
 2.77 14.46 13.40
 3.83 15.63 14.23
 3.15 11.27 10.56
 0.90 15.74 14.27
 7.14 15.00 13.66
 3.92 13.86 12.61
 4.34 15.94 14.51
 0.57 14.00 12.78
 7.06 13.86 12.79
 7.03 14.13 13.05
 5.17 16.04 14.71
 6.82 13.10 12.08
 8.06 12.93 11.88
 1.99 16.72 15.20
 2.84 10.76 10.15
 5.91 12.58 11.71
 1.39 15.46 14.20
 4.08 11.42 10.58
 5.93 12.39 11.55
 6.57 15.30 13.96
 3.08 11.06 10.41
 1.72 11.17 10.52
 5.21 14.23 13.02
 1.32 11.85 11.10
 9.40 15.73 14.34
 2.42 15.60 14.21
 6.80 16.03 14.61
 0.74 16.25 14.77
 5.45 15.42 14.02
 7.50 13.35 12.25
 0.86 12.75 11.83
 2.32 10.86 10.25
 7.96 14.48 13.29
 6.41 13.30 12.32
 0.52 13.18 12.18
 5.05 15.48 14.09
 2.99 11.12 10.48
 3.72 17.77 16.24
 8.21 16.63 15.10
 6.15 12.62 11.74
 5.97 12.28 11.45
 0.30 15.92 14.56
 2.45 17.03 15.35
 7.62 13.33 12.33
 0.38 14.71 13.52
 2.65 14.86 13.51
 1.20 16.69 15.22
 8.17 13.55 12.53
 4.14 12.48 11.63
 4.56 13.85 12.70
 2.09 15.42 14.02
 0.84 10.41  9.85
 4.94 15.93 14.54
 0.13 18.68 16.91
 0.60 17.21 15.74
 8.40 13.94 12.86
 7.59 13.46 12.43
 8.36 14.77 13.51
 0.58 15.55 14.22
 0.30 15.31 13.97
 3.25 11.17 10.51
 0.44 13.58 12.49
 0.78 15.26 13.98
 0.48 14.85 13.58
 0.34 16.82 15.25
 5.05 11.92 11.15
 1.41 17.72 16.13
 6.46 12.61 11.72
 0.73 14.71 13.51
 1.56 17.85 16.16
 1.15 15.47 14.10
 3.84 11.02 10.40
 5.60 15.69 14.29
 4.49 11.66 10.94
 2.47 16.34 14.84
 0.23 13.69 12.66
 2.89 10.95 10.34
 4.15 16.01 14.57
 3.87 14.77 13.55
 5.07 11.78 10.93
 0.55 13.61 12.65
 3.04 12.41 11.54
12.02 15.26 13.91
 8.40 16.94 15.39
 3.05 12.56 11.71
 0.58 16.76 15.31
 0.77 11.69 10.87
 5.60 15.11 13.80
 1.41 15.60 14.23
 4.66 11.06 10.44
 5.32 15.85 14.48
 0.39 15.78 14.42
 6.67 15.32 13.97
 0.56 13.61 12.60
 5.81 12.13 11.35
 2.93 12.17 11.35
 1.59 18.10 16.58
 4.88 11.65 10.93
 6.21 12.31 11.49
 5.02 11.86 11.10
 7.29 13.14 12.19
 6.92 12.33 11.49
 2.12 10.87 10.27
 2.35 14.60 13.29
 6.43 15.37 14.03
 5.97 14.47 13.29
 5.07 11.86 11.09
 5.38 12.19 11.36
 6.23 12.14 11.33
 5.15 13.66 12.65
 0.31 13.14 12.18
 2.16 10.90 10.29
 7.89 13.52 12.51
 5.15 12.54 11.57
 6.28 12.61 11.75
 0.26 15.18 13.92
 4.56 16.36 14.86
 7.96 13.41 12.41
 1.67 18.35 16.68
 5.46 14.74 13.53
 0.88 14.73 13.53
 3.93 14.74 13.47
 4.21 13.02 12.09
 3.47 11.68 10.94
 5.10 12.42 11.57
 0.41 13.78 12.77
 4.85 10.62 10.05
 7.62 14.34 13.16
 2.45 11.18 10.52
 0.43 13.17 12.10
 0.36 16.93 15.44
 5.95 15.42 14.02
 1.76 12.50 11.65
 9.45 11.53 10.72
 4.13 12.30 11.49
 0.39 12.81 11.90
