 6.6	 0.16 									  
 3.29	 1.24 								       
 2.96  	 1.22 
 1.18	 1.4  		       
 6.78  	 1.16 
 4.37  	 1.03 
 8.49  	 1.02 
 7.93	 1.1  				      
 6.84  	 1.16 
 5.94  	 1.18 
 9.13  	 0.98 
 3.59  	 1.35 
 8.28	 1.05 							
 5.79	 1.18 						    
 4.74  	 1.49 
 5.87	 1.18 						    
 9.16  	 1.02 
 1.06  	 1.42 
 1.37  	 0.38 
17.68  	 0.55 
 7.8	 1.04 							
24.24	 0.41 		      
 3.14  	 1.23 
 0.48  	 1.39 
 8.26  	 1.05 
 0.84  	 0.4  
 5.51  	 1.2  
 4.9	 1.24 						       
 4.3	 0.25 						     
17.18  	 0.24 
 5.08  	 0.39 
21.32  	 0.5  
 1.16  	 0.2  
 6.69  	 1.16 
 1.02  	 0.3  
19.27  	 0.52 
17.08  	 0.46 
21.63  	 0.22 
18.11  	 0.53 
 0.41  	 1.35 
 1.7   	 0.2  
12.84  	 0.34 
 9.36  	 1.05 
 0.74  	 0.39 
 9.05  	 1.   
 1.23	 0.19 				    
 9.19  	 1.   
16.07  	 0.6  
 1.79  	 0.33 
20.88  	 0.21 
13.54  	 0.63 
 7.95  	 1.05 
16.51  	 0.56 
 6.46  	 0.28 
 7.4	 0.26        
 9.63  	 0.9  
17.27  	 0.23 
 9.85  	 0.47 
15.65	 0.6  	    
16.61  	 0.5  
 4.54  	 0.27 
11.74  	 0.73 
 8.69  	 1.02 
12.63	 0.68 					 
 8.97  	 1.02 
20.59  	 0.27 
 1.33	 0.29 					     
 9.    	 0.31 
 1.27	 0.22 						     
 0.36  	 0.48 
13.98  	 0.63 
17.27  	 0.41 
 4.38  	 0.6  
 7.8   	 1.19 
13.12  	 0.26 
14.73  	 0.61 
 9.54  	 0.33 
19.65  	 0.48 
 9.11  	 0.95 
21.94  	 0.44 
16.61  	 0.37 
 4.73  	 0.31 
 4.3   	 1.05 
18.79  	 0.55 
 1.76  	 0.26 
 8.86  	 1.04 
 8.89  	 0.99 
 1.17	 0.48 			       
 0.52  	 0.37 
 1.63  	 0.2  
 1.87  	 0.5  
 9.33  	 0.95 
 3.88  	 0.37 
11.83  	 0.65 
21.63  	 0.46 
 0.88  	 0.3  
25.48  	 0.28 
14.31	 0.63 	  
15.9   	 0.58 
 8.19  	 0.28 
 2.62  	 0.26 
21.78  	 0.39 
16.16  	 0.6  
10.89  	 0.77 
 2.32	 0.2  		     
11.01	 0.82 							
 0.74  	 0.32 
 1.18	 0.3  						    
 0.24  	 0.2  
 2.04  	 0.52 
18.55  	 0.45 
16.16  	 0.28 
 9.02  	 1.01 
29.77  	 0.54 
 0.54  	 0.28 
10.54  	 0.85 
 2.29  	 1.41 
15.33  	 0.31 
 5.91  	 0.38 
 1.02  	 0.44 
 1.32  	 0.2  
 0.97  	 0.33 
 1.84  	 0.57 
 8.35  	 0.24 
 8.97  	 0.97 
 9.89  	 0.98 
14.45  	 0.61 
11.97  	 0.82 
18.11  	 0.54 
 6.26  	 0.88 
 5.96  	 0.26 
19.39  	 0.51 
 1.9   	 0.18 
22.6	 0.38 			   
24.44  	 0.31 
 1.26  	 0.19 
 1.52	 0.42 		 
 9.42  	 0.92 
16.89  	 0.29 
10.36  	 0.45 
14.24  	 0.66 
 1.97  	 0.47 
12.42  	 0.76 
 7.36  	 0.4  
16.7   	 0.24 
 8.26  	 0.37 
11.79  	 0.73 
14.66  	 0.61 
 0.61  	 0.18 
19.91	 0.45 					     
11.26  	 0.92 
 9.36  	 0.89 
 1.18  	 0.44 
11.6   	 0.78 
 7.31  	 1.17 
 0.59  	 0.19 
11.34  	 0.8  
 4.89  	 0.92 
 9.02  	 1.01 
 1.28  	 0.43 
26.61  	 0.2  
 0.33  	 0.16 
 5.67  	 0.39 
 1.64  	 0.19 
21.94  	 0.45 
16.33  	 0.58 
11.83  	 0.36 
20.73  	 0.41 
15.26  	 0.33 
 0.86  	 0.18 
 5.31  	 0.26 
21.94  	 0.31 
 1.09  	 0.25 
16.51  	 0.27 
 2.71	 0.3  						       
 0.52  	 0.16 
